DetalleID;VentaID;ProductoID;Cantidad;PrecioUnitario;DescuentoPct;VentaNeta;CostoTotal;Margen
DET001762-2;VTA001762;PROD0091;1;$ 552.675,66;0,0%;$ 552.675,66;$ 399.240,00;$ 153.435,66
DET001763-1;VTA001763;PROD0113;2;$ 728.307,45;0,0%;$ 1.456.614,90;$ 1.026.152,00;$ 430.462,90
DET001764-1;VTA001764;PROD0052;1;$ 674.957,67;0,0%;$ 674.957,67;$ 459.664,00;$ 215.293,67
DET001765-1;VTA001765;PROD0166;1;$ 233.938,73;0,0%;$ 233.938,73;$ 157.280,00;$ 76.658,73
DET001765-2;VTA001765;PROD0113;1;$ 692.888,17;0,0%;$ 692.888,17;$ 513.076,00;$ 179.812,17
DET001765-3;VTA001765;PROD0083;1;$ 957.271,06;5,0%;$ 909.407,51;$ 592.139,00;$ 317.268,51
DET001766-1;VTA001766;PROD0078;1;$ 190.706,30;5,0%;$ 181.170,98;$ 131.031,00;$ 50.139,98
DET001767-1;VTA001767;PROD0074;1;$ 546.717,20;10,0%;$ 492.045,48;$ 388.845,00;$ 103.200,48
DET001768-1;VTA001768;PROD0031;2;$ 299.422,58;15,0%;$ 509.018,39;$ 386.988,00;$ 122.030,39
DET001769-1;VTA001769;PROD0093;1;$ 994.313,27;10,0%;$ 894.881,94;$ 682.026,00;$ 212.855,94
DET001770-1;VTA001770;PROD0083;1;$ 906.705,80;5,0%;$ 861.370,51;$ 592.139,00;$ 269.231,51
DET001771-1;VTA001771;PROD0100;2;$ 317.768,98;0,0%;$ 635.537,96;$ 500.440,00;$ 135.097,96
DET001772-1;VTA001772;PROD0159;1;$ 767.313,18;0,0%;$ 767.313,18;$ 535.252,00;$ 232.061,18
DET001773-1;VTA001773;PROD0074;1;$ 565.094,99;10,0%;$ 508.585,49;$ 388.845,00;$ 119.740,49
DET001774-1;VTA001774;PROD0039;1;$ 556.217,95;0,0%;$ 556.217,95;$ 359.480,00;$ 196.737,95
DET001775-1;VTA001775;PROD0039;1;$ 538.905,76;0,0%;$ 538.905,76;$ 359.480,00;$ 179.425,76
DET001776-1;VTA001776;PROD0114;2;$ 685.250,76;0,0%;$ 1.370.501,52;$ 1.039.348,00;$ 331.153,52
DET001777-1;VTA001777;PROD0087;2;$ 957.267,50;0,0%;$ 0,00;$ 1.378.300,00;$ 0,00
DET001778-1;VTA001778;PROD0043;1;$ 668.915,39;20,0%;$ 535.132,31;$ 510.789,00;$ 24.343,31
DET001779-1;VTA001779;PROD0111;1;$ 212.644,58;10,0%;$ 191.380,12;$ 154.601,00;$ 36.779,12
DET001780-1;VTA001780;PROD0161;4;$ 466.717,15;5,0%;$ 1.773.525,17;$ 1.221.192,00;$ 552.333,17
DET001781-1;VTA001781;PROD0058;3;$ 324.690,72;0,0%;$ 974.072,16;$ 721.368,00;$ 252.704,16
DET001782-1;VTA001782;PROD0055;1;$ 904.680,04;15,0%;$ 768.978,03;$ 645.134,00;$ 123.844,03
DET001782-2;VTA001782;PROD0045;1;$ 113.746,38;0,0%;$ 113.746,38;$ 77.926,00;$ 35.820,38
DET001783-1;VTA001783;PROD0033;1;$ 99.154,26;0,0%;$ 99.154,26;$ 62.579,00;$ 36.575,26
DET001783-2;VTA001783;PROD0150;1;$ 993.027,65;15,0%;$ 844.073,50;$ 724.414,00;$ 119.659,50
DET001784-1;VTA001784;PROD0081;4;$ 714.438,51;0,0%;$ 2.857.754,04;$ 1.916.048,00;$ 941.706,04
DET001785-1;VTA001785;PROD0046;1;$ 926.947,24;0,0%;$ 926.947,24;$ 689.522,00;$ 237.425,24
DET001785-2;VTA001785;PROD0161;1;$ 480.713,05;0,0%;$ 480.713,05;$ 305.298,00;$ 175.415,05
DET001785-3;VTA001785;PROD0035;1;$ 153.398,69;0,0%;$ 153.398,69;$ 103.762,00;$ 49.636,69
DET001786-1;VTA001786;PROD0073;1;$ 155.161,69;0,0%;$ 155.161,69;$ 99.591,00;$ 55.570,69
DET001787-1;VTA001787;PROD0124;1;$ 156.115,74;10,0%;$ 140.504,17;$ 123.837,00;$ 16.667,17
DET001788-1;VTA001788;PROD0009;1;$ 294.400,74;0,0%;$ 294.400,74;$ 223.002,00;$ 71.398,74
DET001788-2;VTA001788;PROD0059;1;$ 74.072,65;0,0%;$ 74.072,65;$ 57.499,00;$ 16.573,65
DET001789-1;VTA001789;PROD0060;3;$ 211.560,52;10,0%;$ 571.213,40;$ 422.052,00;$ 149.161,40
DET001789-2;VTA001789;PROD0136;4;$ 389.050,40;0,0%;$ 1.556.201,60;$ 984.880,00;$ 571.321,60
DET001790-1;VTA001790;PROD0178;2;$ 444.678,50;10,0%;$ 800.421,30;$ 678.668,00;$ 121.753,30
DET001790-2;VTA001790;PROD0180;1;$ 1.261.870,83;20,0%;$ 1.009.496,66;$ 869.947,00;$ 139.549,66
DET001791-1;VTA001791;PROD0113;1;$ 731.817,40;10,0%;$ 658.635,66;$ 513.076,00;$ 145.559,66
DET001792-1;VTA001792;PROD0173;1;$ 361.404,38;0,0%;$ 361.404,38;$ 246.117,00;$ 115.287,38
DET001792-2;VTA001792;PROD0010;2;$ 98.592,42;0,0%;$ 197.184,84;$ 150.948,00;$ 46.236,84
DET001792-3;VTA001792;PROD0096;1;$ 623.612,19;15,0%;$ 530.070,36;$ 409.389,00;$ 120.681,36
DET001793-1;VTA001793;PROD0133;1;$ 756.829,05;5,0%;$ 718.987,60;$ 579.507,00;$ 139.480,60
DET001794-1;VTA001794;PROD0067;1;$ 258.662,52;0,0%;$ 258.662,52;$ 181.885,00;$ 76.777,52
DET001795-1;VTA001795;PROD0043;1;$ 677.524,51;0,0%;$ 677.524,51;$ 510.789,00;$ 166.735,51
DET001796-1;VTA001796;PROD0105;4;$ 431.559,71;10,0%;$ 1.553.614,96;$ 1.186.936,00;$ 366.678,96
DET001797-1;VTA001797;PROD0123;1;$ 284.573,62;5,0%;$ 270.344,94;$ 213.165,00;$ 57.179,94
DET001798-1;VTA001798;PROD0039;2;$ 548.847,01;0,0%;$ 1.097.694,02;$ 718.960,00;$ 378.734,02
DET001799-1;VTA001799;PROD0035;1;$ 154.101,03;0,0%;$ 154.101,03;$ 103.762,00;$ 50.339,03
DET001800-1;VTA001800;PROD0074;1;$ 553.521,49;5,0%;$ 525.845,42;$ 388.845,00;$ 137.000,42
DET001801-1;VTA001801;PROD0048;1;$ 237.484,97;20,0%;$ 189.987,98;$ 155.148,00;$ 34.839,98
DET001802-1;VTA001802;PROD0132;1;$ 555.912,41;0,0%;$ 555.912,41;$ 438.168,00;$ 117.744,41
DET001803-1;VTA001803;PROD0127;1;$ 15.531,55;5,0%;$ 0,00;$ 11.836,00;$ 0,00
DET001804-1;VTA001804;PROD0108;1;$ 801.623,51;0,0%;$ 801.623,51;$ 564.006,00;$ 237.617,51
DET001804-2;VTA001804;PROD0178;1;$ 467.513,44;5,0%;$ 444.137,77;$ 339.334,00;$ 104.803,77
DET001804-3;VTA001804;PROD0052;1;$ 685.653,11;5,0%;$ 651.370,45;$ 459.664,00;$ 191.706,45
DET001805-1;VTA001805;PROD0151;1;$ 140.238,61;5,0%;$ 133.226,68;$ 107.564,00;$ 25.662,68
DET001806-1;VTA001806;PROD0039;1;$ 562.593,64;5,0%;$ 534.463,96;$ 359.480,00;$ 174.983,96
DET001807-1;VTA001807;PROD0036;1;$ 631.318,69;5,0%;$ 599.752,76;$ 496.749,00;$ 103.003,76
DET001808-1;VTA001808;PROD0158;1;$ 754.208,11;0,0%;$ 754.208,11;$ 532.236,00;$ 221.972,11
DET001809-1;VTA001809;PROD0135;2;$ 38.864,96;15,0%;$ 66.070,43;$ 61.314,00;$ 4.756,43
DET001809-2;VTA001809;PROD0066;1;$ 482.425,80;0,0%;$ 482.425,80;$ 369.460,00;$ 112.965,80
DET001809-3;VTA001809;PROD0087;2;$ 954.052,18;20,0%;$ 1.526.483,49;$ 1.378.300,00;$ 148.183,49
DET001810-1;VTA001810;PROD0103;1;$ 19.527,15;0,0%;$ 19.527,15;$ 12.993,00;$ 6.534,15
DET001811-1;VTA001811;PROD0008;1;$ 220.584,98;5,0%;$ 209.555,73;$ 150.976,00;$ 58.579,73
DET001811-2;VTA001811;PROD0173;1;$ 365.816,55;0,0%;$ 365.816,55;$ 246.117,00;$ 119.699,55
DET001812-1;VTA001812;PROD0161;2;$ 496.352,82;0,0%;$ 992.705,64;$ 610.596,00;$ 382.109,64
DET001812-2;VTA001812;PROD0070;1;$ 351.835,46;0,0%;$ 351.835,46;$ 235.608,00;$ 116.227,46
DET001812-3;VTA001812;PROD0095;4;$ 932.653,35;0,0%;$ 3.730.613,40;$ 2.320.024,00;$ 1.410.589,40
DET001813-1;VTA001813;PROD0096;1;$ 666.530,02;0,0%;$ 666.530,02;$ 409.389,00;$ 257.141,02
DET001813-2;VTA001813;PROD0120;1;$ 48.812,97;15,0%;$ 41.491,02;$ 35.319,00;$ 6.172,02
DET001814-1;VTA001814;PROD0022;1;$ 178.634,21;10,0%;$ 160.770,79;$ 141.606,00;$ 19.164,79
DET001815-1;VTA001815;PROD0140;1;$ 486.074,48;0,0%;$ 486.074,48;$ 340.381,00;$ 145.693,48
DET001815-2;VTA001815;PROD0021;2;$ 1.025.938,11;5,0%;$ 1.949.282,41;$ 1.505.240,00;$ 444.042,41
DET001815-3;VTA001815;PROD0108;1;$ 829.706,00;0,0%;$ 829.706,00;$ 564.006,00;$ 265.700,00
DET001816-1;VTA001816;PROD0167;1;$ 518.266,76;0,0%;$ 518.266,76;$ 380.551,00;$ 137.715,76
DET001816-2;VTA001816;PROD0057;1;$ 84.939,50;0,0%;$ 84.939,50;$ 67.389,00;$ 17.550,50
DET001816-3;VTA001816;PROD0161;1;$ 474.524,94;5,0%;$ 450.798,69;$ 305.298,00;$ 145.500,69
DET001817-1;VTA001817;PROD0063;2;$ 16.078,06;5,0%;$ 30.548,31;$ 20.814,00;$ 9.734,31
DET001817-2;VTA001817;PROD0067;2;$ 265.676,19;5,0%;$ 504.784,76;$ 363.770,00;$ 141.014,76
DET001818-1;VTA001818;PROD0031;1;$ 281.935,80;10,0%;$ 253.742,22;$ 193.494,00;$ 60.248,22
DET001819-1;VTA001819;PROD0055;1;$ 965.184,82;20,0%;$ 772.147,86;$ 645.134,00;$ 127.013,86
DET001820-1;VTA001820;PROD0166;3;$ 251.196,37;0,0%;$ 753.589,11;$ 471.840,00;$ 281.749,11
DET001820-2;VTA001820;PROD0050;4;$ 284.854,86;10,0%;$ 1.025.477,50;$ 744.132,00;$ 281.345,50
DET001821-1;VTA001821;PROD0015;3;$ 578.450,98;0,0%;$ 1.735.352,94;$ 1.237.482,00;$ 497.870,94
DET001821-2;VTA001821;PROD0062;1;$ 111.287,75;5,0%;$ 105.723,36;$ 78.996,00;$ 26.727,36
DET001822-1;VTA001822;PROD0066;2;$ 494.236,92;20,0%;$ 790.779,07;$ 738.920,00;$ 51.859,07
DET001822-2;VTA001822;PROD0044;1;$ 204.188,32;0,0%;$ 204.188,32;$ 138.314,00;$ 65.874,32
DET001823-1;VTA001823;PROD0177;1;$ 696.239,88;0,0%;$ 696.239,88;$ 444.666,00;$ 251.573,88
DET001824-1;VTA001824;PROD0120;2;$ 46.166,01;10,0%;$ 83.098,82;$ 70.638,00;$ 12.460,82
DET001825-1;VTA001825;PROD0080;1;$ 40.813,47;0,0%;$ 40.813,47;$ 28.849,00;$ 11.964,47
DET001826-1;VTA001826;PROD0123;2;$ 285.935,70;5,0%;$ 543.277,83;$ 426.330,00;$ 116.947,83
DET001827-1;VTA001827;PROD0169;1;$ 102.613,08;10,0%;$ 92.351,77;$ 75.268,00;$ 17.083,77
DET001827-2;VTA001827;PROD0146;1;$ 74.216,19;0,0%;$ 74.216,19;$ 54.157,00;$ 20.059,19
DET001827-3;VTA001827;PROD0007;1;$ 902.391,00;0,0%;$ 902.391,00;$ 657.826,00;$ 244.565,00
DET001828-1;VTA001828;PROD0044;1;$ 199.131,36;5,0%;$ 189.174,79;$ 138.314,00;$ 50.860,79
DET001829-1;VTA001829;PROD0031;2;$ 295.590,10;5,0%;$ 561.621,19;$ 386.988,00;$ 174.633,19
DET001830-1;VTA001830;PROD0020;1;$ 527.761,27;5,0%;$ 501.373,21;$ 405.246,00;$ 96.127,21
DET001831-1;VTA001831;PROD0066;2;$ 474.472,34;15,0%;$ 806.602,98;$ 738.920,00;$ 67.682,98
DET001831-2;VTA001831;PROD0095;1;$ 950.855,70;0,0%;$ 950.855,70;$ 580.006,00;$ 370.849,70
DET001832-1;VTA001832;PROD0021;1;$ 1.029.769,07;0,0%;$ 1.029.769,07;$ 752.620,00;$ 277.149,07
DET001832-2;VTA001832;PROD0076;2;$ 213.806,28;15,0%;$ 363.470,68;$ 273.402,00;$ 90.068,68
DET001833-1;VTA001833;PROD0145;2;$ 926.972,36;0,0%;$ 1.853.944,72;$ 1.216.526,00;$ 637.418,72
DET001833-2;VTA001833;PROD0071;2;$ 116.293,54;15,0%;$ 197.699,02;$ 160.278,00;$ 37.421,02
DET001834-1;VTA001834;PROD0177;1;$ 673.182,59;10,0%;$ 605.864,33;$ 444.666,00;$ 161.198,33
DET001835-1;VTA001835;PROD0143;1;$ 52.161,36;15,0%;$ 44.337,16;$ 35.896,00;$ 8.441,16
DET001835-2;VTA001835;PROD0158;2;$ 729.677,65;15,0%;$ 1.240.452,01;$ 1.064.472,00;$ 175.980,01
DET001836-1;VTA001836;PROD0112;1;$ 55.992,90;0,0%;$ 55.992,90;$ 40.686,00;$ 15.306,90
DET001836-2;VTA001836;PROD0167;1;$ 531.129,16;0,0%;$ 531.129,16;$ 380.551,00;$ 150.578,16
DET001837-1;VTA001837;PROD0051;1;$ 949.943,18;10,0%;$ 854.948,86;$ 673.237,00;$ 181.711,86
DET001838-1;VTA001838;PROD0098;3;$ 707.358,88;10,0%;$ 1.909.868,98;$ 1.399.857,00;$ 510.011,98
DET001839-1;VTA001839;PROD0099;4;$ 707.164,71;5,0%;$ 2.687.225,90;$ 2.283.752,00;$ 403.473,90
DET001840-1;VTA001840;PROD0124;1;$ 166.768,28;10,0%;$ 150.091,45;$ 123.837,00;$ 26.254,45
DET001841-1;VTA001841;PROD0112;1;$ 54.905,77;0,0%;$ 54.905,77;$ 40.686,00;$ 14.219,77
DET001841-2;VTA001841;PROD0061;3;$ 166.633,40;0,0%;$ 499.900,20;$ 321.954,00;$ 177.946,20
DET001842-1;VTA001842;PROD0011;1;$ 102.859,62;0,0%;$ 102.859,62;$ 67.902,00;$ 34.957,62
DET001843-1;VTA001843;PROD0108;1;$ 809.290,19;10,0%;$ 728.361,17;$ 564.006,00;$ 164.355,17
DET001844-1;VTA001844;PROD0171;1;$ 620.225,57;0,0%;$ 620.225,57;$ 453.851,00;$ 166.374,57
DET001844-2;VTA001844;PROD0108;1;$ 805.868,68;0,0%;$ 805.868,68;$ 564.006,00;$ 241.862,68
DET001844-3;VTA001844;PROD0056;1;$ 365.947,00;10,0%;$ 329.352,30;$ 242.486,00;$ 86.866,30
DET001845-1;VTA001845;PROD0097;2;$ 353.343,40;15,0%;$ 600.683,78;$ 460.124,00;$ 140.559,78
DET001846-1;VTA001846;PROD0130;2;$ 1.082.169,15;15,0%;$ 1.839.687,55;$ 1.402.566,00;$ 437.121,55
DET001846-2;VTA001846;PROD0162;1;$ 97.325,14;5,0%;$ 92.458,88;$ 68.036,00;$ 24.422,88
DET001846-3;VTA001846;PROD0012;1;$ 17.032,92;0,0%;$ 17.032,92;$ 11.308,00;$ 5.724,92
DET001847-1;VTA001847;PROD0036;3;$ 626.681,18;0,0%;$ 1.880.043,54;$ 1.490.247,00;$ 389.796,54
DET001848-1;VTA001848;PROD0112;2;$ 56.647,96;0,0%;$ 113.295,92;$ 81.372,00;$ 31.923,92
DET001849-1;VTA001849;PROD0124;1;$ 163.287,44;0,0%;$ 163.287,44;$ 123.837,00;$ 39.450,44
DET001850-1;VTA001850;PROD0096;1;$ 652.733,80;15,0%;$ 554.823,73;$ 409.389,00;$ 145.434,73
DET001850-2;VTA001850;PROD0094;2;$ 102.404,89;0,0%;$ 204.809,78;$ 150.938,00;$ 53.871,78
DET001850-3;VTA001850;PROD0035;1;$ 144.683,85;5,0%;$ 137.449,66;$ 103.762,00;$ 33.687,66
DET001851-1;VTA001851;PROD0087;1;$ 929.041,58;0,0%;$ 929.041,58;$ 689.150,00;$ 239.891,58
DET001851-2;VTA001851;PROD0026;1;$ 888.483,77;15,0%;$ 755.211,20;$ 610.791,00;$ 144.420,20
DET001851-3;VTA001851;PROD0068;1;$ 692.412,09;0,0%;$ 692.412,09;$ 459.034,00;$ 233.378,09
DET001852-1;VTA001852;PROD0078;1;$ 186.930,54;0,0%;$ 186.930,54;$ 131.031,00;$ 55.899,54
DET001853-1;VTA001853;PROD0096;1;$ 616.209,35;0,0%;$ 616.209,35;$ 409.389,00;$ 206.820,35
DET001854-1;VTA001854;PROD0025;1;$ 904.429,01;15,0%;$ 768.764,66;$ 708.479,00;$ 60.285,66
DET001855-1;VTA001855;PROD0135;1;$ 39.394,93;0,0%;$ 39.394,93;$ 30.657,00;$ 8.737,93
DET001856-1;VTA001856;PROD0046;1;$ 990.934,10;5,0%;$ 941.387,39;$ 689.522,00;$ 251.865,39
DET001856-2;VTA001856;PROD0168;2;$ 201.694,78;5,0%;$ 383.220,08;$ 287.430,00;$ 95.790,08
DET001856-3;VTA001856;PROD0036;2;$ 648.435,77;0,0%;$ 1.296.871,54;$ 993.498,00;$ 303.373,54
DET001857-1;VTA001857;PROD0045;1;$ 108.713,24;0,0%;$ 108.713,24;$ 77.926,00;$ 30.787,24
DET001857-2;VTA001857;PROD0063;1;$ 16.345,32;0,0%;$ 16.345,32;$ 10.407,00;$ 5.938,32
DET001858-1;VTA001858;PROD0063;2;$ 16.927,22;0,0%;$ 33.854,44;$ 20.814,00;$ 13.040,44
DET001859-1;VTA001859;PROD0095;1;$ 894.930,35;0,0%;$ 894.930,35;$ 580.006,00;$ 314.924,35
DET001860-1;VTA001860;PROD0170;2;$ 259.564,61;0,0%;$ 519.129,22;$ 373.536,00;$ 145.593,22
DET001861-1;VTA001861;PROD0164;1;$ 801.559,48;5,0%;$ 761.481,51;$ 571.657,00;$ 189.824,51
DET001862-1;VTA001862;PROD0035;1;$ 145.083,66;20,0%;$ 116.066,93;$ 103.762,00;$ 12.304,93
DET001862-2;VTA001862;PROD0003;3;$ 405.380,75;5,0%;$ 1.155.335,14;$ 774.669,00;$ 380.666,14
DET001863-1;VTA001863;PROD0101;2;$ 84.066,14;0,0%;$ 168.132,28;$ 125.948,00;$ 42.184,28
DET001864-1;VTA001864;PROD0116;1;$ 194.715,78;0,0%;$ 194.715,78;$ 152.602,00;$ 42.113,78
DET001865-1;VTA001865;PROD0002;1;$ 1.288.692,99;5,0%;$ 1.224.258,34;$ 862.953,00;$ 361.305,34
DET001865-2;VTA001865;PROD0136;1;$ 384.565,66;0,0%;$ 384.565,66;$ 246.220,00;$ 138.345,66
DET001866-1;VTA001866;PROD0117;1;$ 17.718,44;15,0%;$ 15.060,67;$ 13.971,00;$ 1.089,67
DET001866-2;VTA001866;PROD0004;2;$ 892.133,21;5,0%;$ 1.695.053,10;$ 1.193.268,00;$ 501.785,10
DET001867-1;VTA001867;PROD0158;1;$ 723.544,84;0,0%;$ 723.544,84;$ 532.236,00;$ 191.308,84
DET001868-1;VTA001868;PROD0075;1;$ 573.035,81;0,0%;$ 0,00;$ 414.909,00;$ 0,00
DET001868-2;VTA001868;PROD0020;2;$ 541.853,35;0,0%;$ 0,00;$ 810.492,00;$ 0,00
DET001869-1;VTA001869;PROD0177;1;$ 657.451,04;20,0%;$ 525.960,83;$ 444.666,00;$ 81.294,83
DET001870-1;VTA001870;PROD0059;1;$ 76.477,45;0,0%;$ 76.477,45;$ 57.499,00;$ 18.978,45
DET001870-2;VTA001870;PROD0140;1;$ 486.982,54;0,0%;$ 486.982,54;$ 340.381,00;$ 146.601,54
DET001870-3;VTA001870;PROD0126;1;$ 80.064,48;0,0%;$ 80.064,48;$ 53.626,00;$ 26.438,48
DET001871-1;VTA001871;PROD0037;1;$ 539.650,29;20,0%;$ 431.720,23;$ 399.021,00;$ 32.699,23
DET001871-2;VTA001871;PROD0161;1;$ 492.853,03;0,0%;$ 492.853,03;$ 305.298,00;$ 187.555,03
DET001872-1;VTA001872;PROD0134;2;$ 500.471,60;0,0%;$ 1.000.943,20;$ 698.270,00;$ 302.673,20
DET001873-1;VTA001873;PROD0008;1;$ 221.118,83;15,0%;$ 187.951,01;$ 150.976,00;$ 36.975,01
DET001874-1;VTA001874;PROD0161;1;$ 487.261,69;5,0%;$ 462.898,61;$ 305.298,00;$ 157.600,61
DET001875-1;VTA001875;PROD0136;2;$ 368.049,74;20,0%;$ 588.879,58;$ 492.440,00;$ 96.439,58
DET001876-1;VTA001876;PROD0116;2;$ 198.440,96;0,0%;$ 396.881,92;$ 305.204,00;$ 91.677,92
DET001877-1;VTA001877;PROD0036;4;$ 621.507,98;0,0%;$ 2.486.031,92;$ 1.986.996,00;$ 499.035,92
DET001878-1;VTA001878;PROD0083;1;$ 950.914,01;0,0%;$ 950.914,01;$ 592.139,00;$ 358.775,01
DET001879-1;VTA001879;PROD0018;3;$ 1.115.664,47;0,0%;$ 3.346.993,41;$ 2.215.038,00;$ 1.131.955,41
DET001880-1;VTA001880;PROD0178;1;$ 440.194,25;0,0%;$ 440.194,25;$ 339.334,00;$ 100.860,25
DET001881-1;VTA001881;PROD0032;1;$ 965.950,91;0,0%;$ 965.950,91;$ 589.630,00;$ 376.320,91
DET001882-1;VTA001882;PROD0160;1;$ 377.782,65;0,0%;$ 377.782,65;$ 265.144,00;$ 112.638,65
DET001882-2;VTA001882;PROD0155;1;$ 295.763,88;10,0%;$ 266.187,49;$ 199.197,00;$ 66.990,49
DET001883-1;VTA001883;PROD0036;2;$ 608.866,96;0,0%;$ 1.217.733,92;$ 993.498,00;$ 224.235,92
DET001884-1;VTA001884;PROD0001;1;$ 912.974,96;10,0%;$ 821.677,46;$ 694.325,00;$ 127.352,46
DET001885-1;VTA001885;PROD0151;1;$ 138.212,95;0,0%;$ 138.212,95;$ 107.564,00;$ 30.648,95
DET001885-2;VTA001885;PROD0148;2;$ 70.016,38;0,0%;$ 140.032,76;$ 109.942,00;$ 30.090,76
DET001886-1;VTA001886;PROD0019;1;$ 442.499,20;0,0%;$ 442.499,20;$ 339.531,00;$ 102.968,20
DET001887-1;VTA001887;PROD0136;1;$ 362.656,49;10,0%;$ 326.390,84;$ 246.220,00;$ 80.170,84
DET001887-2;VTA001887;PROD0035;1;$ 151.927,25;15,0%;$ 129.138,16;$ 103.762,00;$ 25.376,16
DET001888-1;VTA001888;PROD0117;2;$ 18.776,90;10,0%;$ 33.798,42;$ 27.942,00;$ 5.856,42
DET001889-1;VTA001889;PROD0175;1;$ 639.477,21;0,0%;$ 639.477,21;$ 518.531,00;$ 120.946,21
DET001889-2;VTA001889;PROD0013;2;$ 157.866,12;0,0%;$ 315.732,24;$ 215.276,00;$ 100.456,24
DET001890-1;VTA001890;PROD0024;1;$ 38.298,90;5,0%;$ 36.383,96;$ 27.282,00;$ 9.101,96
DET001891-1;VTA001891;PROD0094;2;$ 105.962,26;15,0%;$ 180.135,84;$ 150.938,00;$ 29.197,84
DET001892-1;VTA001892;PROD0157;2;$ 395.264,46;0,0%;$ 790.528,92;$ 517.854,00;$ 272.674,92
DET001892-2;VTA001892;PROD0175;1;$ 640.993,09;5,0%;$ 608.943,44;$ 518.531,00;$ 90.412,44
DET001892-3;VTA001892;PROD0055;1;$ 934.153,35;5,0%;$ 887.445,68;$ 645.134,00;$ 242.311,68
DET001893-1;VTA001893;PROD0093;2;$ 1.039.852,85;0,0%;$ 2.079.705,70;$ 1.364.052,00;$ 715.653,70
DET001894-1;VTA001894;PROD0095;1;$ 919.558,96;0,0%;$ 919.558,96;$ 580.006,00;$ 339.552,96
DET001895-1;VTA001895;PROD0017;1;$ 551.164,41;5,0%;$ 523.606,19;$ 385.317,00;$ 138.289,19
DET001896-1;VTA001896;PROD0179;3;$ 1.013.693,88;0,0%;$ 3.041.081,64;$ 2.004.543,00;$ 1.036.538,64
DET001897-1;VTA001897;PROD0143;1;$ 52.642,77;0,0%;$ 52.642,77;$ 35.896,00;$ 16.746,77
DET001898-1;VTA001898;PROD0044;1;$ 206.567,70;0,0%;$ 206.567,70;$ 138.314,00;$ 68.253,70
DET001899-1;VTA001899;PROD0028;1;$ 168.738,50;15,0%;$ 143.427,73;$ 108.655,00;$ 34.772,73
DET001900-1;VTA001900;PROD0085;2;$ 1.131.557,53;5,0%;$ 2.149.959,31;$ 1.387.282,00;$ 762.677,31
DET001901-1;VTA001901;PROD0169;2;$ 99.767,15;0,0%;$ 199.534,30;$ 150.536,00;$ 48.998,30
DET001902-1;VTA001902;PROD0140;1;$ 497.044,56;0,0%;$ 497.044,56;$ 340.381,00;$ 156.663,56
DET001903-1;VTA001903;PROD0024;1;$ 38.889,23;0,0%;$ 38.889,23;$ 27.282,00;$ 11.607,23
DET001903-2;VTA001903;PROD0005;1;$ 148.588,00;0,0%;$ 148.588,00;$ 110.594,00;$ 37.994,00
DET001903-3;VTA001903;PROD0072;1;$ 860.709,45;5,0%;$ 817.673,98;$ 656.772,00;$ 160.901,98
DET001904-1;VTA001904;PROD0159;1;$ 779.589,44;15,0%;$ 662.651,02;$ 535.252,00;$ 127.399,02
DET001905-1;VTA001905;PROD0139;1;$ 837.869,63;10,0%;$ 754.082,67;$ 539.983,00;$ 214.099,67
DET001906-1;VTA001906;PROD0048;2;$ 233.534,09;5,0%;$ 443.714,77;$ 310.296,00;$ 133.418,77
DET001906-2;VTA001906;PROD0069;3;$ 84.450,75;5,0%;$ 240.684,64;$ 162.498,00;$ 78.186,64
DET001907-1;VTA001907;PROD0167;3;$ 519.172,06;0,0%;$ 1.557.516,18;$ 1.141.653,00;$ 415.863,18
DET001908-1;VTA001908;PROD0123;1;$ 282.727,62;10,0%;$ 254.454,86;$ 213.165,00;$ 41.289,86
DET001908-2;VTA001908;PROD0001;3;$ 945.174,89;0,0%;$ 2.835.524,67;$ 2.082.975,00;$ 752.549,67
DET001909-1;VTA001909;PROD0020;1;$ 552.125,71;0,0%;$ 552.125,71;$ 405.246,00;$ 146.879,71
DET001910-1;VTA001910;PROD0160;2;$ 361.960,25;0,0%;$ 723.920,50;$ 530.288,00;$ 193.632,50
DET001910-2;VTA001910;PROD0133;1;$ 778.221,70;0,0%;$ 778.221,70;$ 579.507,00;$ 198.714,70
DET001911-1;VTA001911;PROD0008;1;$ 214.944,12;20,0%;$ 171.955,30;$ 150.976,00;$ 20.979,30
DET001911-2;VTA001911;PROD0072;1;$ 819.918,74;15,0%;$ 696.930,93;$ 656.772,00;$ 40.158,93
DET001912-1;VTA001912;PROD0058;3;$ 350.126,19;5,0%;$ 997.859,64;$ 721.368,00;$ 276.491,64
DET001912-2;VTA001912;PROD0148;3;$ 74.278,46;5,0%;$ 211.693,61;$ 164.913,00;$ 46.780,61
DET001913-1;VTA001913;PROD0113;1;$ 739.926,30;0,0%;$ 739.926,30;$ 513.076,00;$ 226.850,30
DET001914-1;VTA001914;PROD0048;3;$ 238.186,56;0,0%;$ 714.559,68;$ 465.444,00;$ 249.115,68
DET001914-2;VTA001914;PROD0063;1;$ 16.216,60;0,0%;$ 16.216,60;$ 10.407,00;$ 5.809,60
DET001914-3;VTA001914;PROD0147;1;$ 1.081.758,73;10,0%;$ 973.582,86;$ 675.974,00;$ 297.608,86
DET001915-1;VTA001915;PROD0021;1;$ 1.034.054,12;0,0%;$ 1.034.054,12;$ 752.620,00;$ 281.434,12
